Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
P12270,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,Nucleoprotein TPR,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,other membranes;cytoskeleton;nucleus;other cell component,cytoskeletal activity;nucleic acid binding activity;other molecular function,,Signaling by ALK fusions and activated point mutants; HCMV Late Events; HCMV Early Events; ISG15 antiviral mechanism; Transport of the SLBP independent Mature mRNA; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA Derived from an Intronless Transcript; Transport of Mature mRNA derived from an Intron-Containing Transcript; Rev-mediated nuclear export of HIV RNA; Transport of Ribonucleoproteins into the Host Nucleus; NS1 Mediated Effects on Host Pathways; Viral Messenger RNA Synthesis; NEP/NS2 Interacts with the Cellular Export Machinery; Regulation of Glucokinase by Glucokinase Regulatory Protein; Nuclear import of Rev protein; Vpr-mediated nuclear import of PICs; snRNP Assembly; SUMOylation of DNA damage response and repair proteins; SUMOylation of ubiquitinylation proteins; Nuclear Pore Complex (NPC) Disassembly; Regulation of HSF1-mediated heat shock response; SUMOylation of SUMOylation proteins; SUMOylation of chromatin organization proteins; SUMOylation of RNA binding proteins; SUMOylation of DNA replication proteins; Transcriptional regulation by small RNAs; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); tRNA processing in the nucleus,Nucleocytoplasmic transport; Amyotrophic lateral sclerosis; Pathways in cancer; Thyroid cancer
P02549,"Spectrin alpha chain, erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTA1 PE=1 SV=5","Spectrin alpha chain, erythrocytic 1",Homo sapiens,cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,,COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins,Apoptosis
A0A1B0GU62,Acid ceramidase (Fragment) OS=Homo sapiens OX=9606 GN=ASAH1 PE=1 SV=1,Acid ceramidase (Fragment),Homo sapiens,,,other molecular function,Sphingolipid metabolism overview; Sphingolipid metabolism: integrated pathway; Sphingolipid metabolism in senescence,,
Q92542,Nicastrin OS=Homo sapiens OX=9606 GN=NCSTN PE=1 SV=2,Nicastrin,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;other molecular function,Alzheimer's disease and miRNA effects; Notch signaling; Inclusion body myositis; Alzheimer's disease; Notch signaling pathway (Netpath),Neutrophil degranulation; Amyloid fiber formation; Degradation of the extracellular matrix; EPH-ephrin mediated repulsion of cells; Activated NOTCH1 Transmits Signal to the Nucleus; Constitutive Signaling by NOTCH1 PEST Domain Mutants; Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants; NOTCH2 Activation and Transmission of Signal to the Nucleus; NRIF signals cell death from the nucleus; Nuclear signaling by ERBB4; NOTCH4 Activation and Transmission of Signal to the Nucleus; Regulated proteolysis of p75NTR; Noncanonical activation of NOTCH3,Notch signaling pathway; Alzheimer disease
Q9UBE0,SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1,SUMO-activating enzyme subunit 1,Homo sapiens,protein metabolism;other metabolic processes;other biological processes,nucleus;other cell component,enzyme regulator activity;other molecular function,,"SUMO is conjugated to E1 (UBA2:SAE1); SUMO is transferred from E1 to E2 (UBE2I, UBC9)",Ubiquitin mediated proteolysis
P36959,GMP reductase 1 OS=Homo sapiens OX=9606 GN=GMPR PE=1 SV=1,GMP reductase 1,Homo sapiens,other metabolic processes;stress response,cytosol;other cell component,other molecular function,,Purine salvage,Purine metabolism; Metabolic pathways
P17900,Ganglioside GM2 activator OS=Homo sapiens OX=9606 GN=GM2A PE=1 SV=4,Ganglioside GM2 activator,Homo sapiens,other metabolic processes;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component,transporter activity;enzyme regulator activity;other molecular function,"Degradation pathway of sphingolipids, including diseases",Glycosphingolipid metabolism; Neutrophil degranulation,Lysosome
P21926,CD9 antigen OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=4,CD9 antigen,Homo sapiens,cell adhesion;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,signal transduction activity or receptor binding,Vitamin D receptor pathway,Platelet degranulation ; Uptake and function of diphtheria toxin; Acrosome Reaction and Sperm:Oocyte Membrane Binding,Hematopoietic cell lineage
P49756,RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,RNA-binding protein 25,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity,,,Spliceosome
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2","Spectrin beta chain, non-erythrocytic 1",Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,TGF-beta signaling pathway; Sudden infant death syndrome (SIDS) susceptibility pathways,RHOV GTPase cycle; RHOU GTPase cycle; COPI-mediated anterograde transport; Sensory processing of sound by inner hair cells of the cochlea; Sensory processing of sound by outer hair cells of the cochlea; Interaction between L1 and Ankyrins; Nephrin family interactions; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Signaling by FLT3 fusion proteins,
P57740,Nuclear pore complex protein Nup107 OS=Homo sapiens OX=9606 GN=NUP107 PE=1 SV=1,Nuclear pore complex protein Nup107,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;other biological processes,other membranes;cytosol;nucleus;other cell component,other molecular function,Gastric cancer network 1,Vpr-mediated nuclear import of PICs; ISG15 antiviral mechanism; Transport of the SLBP independent Mature mRNA; Transport of the SLBP Dependant Mature mRNA; Transport of Mature mRNA Derived from an Intronless Transcript; RHO GTPases Activate Formins; SUMOylation of RNA binding proteins; Regulation of HSF1-mediated heat shock response; snRNP Assembly; SUMOylation of DNA damage response and repair proteins; Separation of Sister Chromatids; SUMOylation of chromatin organization proteins; HCMV Late Events; Resolution of Sister Chromatid Cohesion; HCMV Early Events; EML4 and NUDC in mitotic spindle formation; Transport of Mature mRNA derived from an Intron-Containing Transcript; Rev-mediated nuclear export of HIV RNA; Transport of Ribonucleoproteins into the Host Nucleus; NS1 Mediated Effects on Host Pathways; Viral Messenger RNA Synthesis; NEP/NS2 Interacts with the Cellular Export Machinery; Regulation of Glucokinase by Glucokinase Regulatory Protein; Nuclear import of Rev protein; SUMOylation of ubiquitinylation proteins; Nuclear Pore Complex (NPC) Disassembly; SUMOylation of SUMOylation proteins; SUMOylation of DNA replication proteins; Transcriptional regulation by small RNAs; Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC); tRNA processing in the nucleus; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Postmitotic nuclear pore complex (NPC) reformation,Nucleocytoplasmic transport; Amyotrophic lateral sclerosis
P36507,Dual specificity mitogen-activated protein kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP2K2 PE=1 SV=1,Dual specificity mitogen-activated protein kinase kinase 2,Homo sapiens,protein metabolism;other metabolic processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,enzyme regulator activity;kinase activity;other molecular function,"IL-5 signaling pathway; Regulation of toll-like receptor signaling pathway; MicroRNAs in cardiomyocyte hypertrophy; Integrin-mediated cell adhesion; IL-1 signaling pathway; Leptin signaling pathway; Prolactin signaling pathway; IL-7 signaling pathway; Alzheimer's disease and miRNA effects; IL-9 signaling pathway; Thymic stromal lymphopoietin (TSLP) signaling pathway; Glioblastoma signaling pathways; B cell receptor signaling pathway; Interleukin-11 signaling pathway; Oncostatin M signaling pathway; Brain-derived neurotrophic factor (BDNF) signaling pathway; Amyotrophic lateral sclerosis (ALS); Common pathways underlying drug addiction; Interleukin-1 (IL-1) structural pathway; Cardiac hypertrophic response; Bladder cancer; Kit receptor signaling pathway; Hepatocyte growth factor receptor signaling; IL-6 signaling pathway; Pathways affected in adenoid cystic carcinoma; TGF-beta signaling pathway; MAPK signaling pathway; T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection; 4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression; VEGFA-VEGFR2 signaling pathway; Angiopoietin-like protein 8 regulatory pathway; Embryonic stem cell pluripotency pathways; Focal adhesion: PI3K-Akt-mTOR-signaling pathway; Endometrial cancer; PI3K-Akt signaling pathway; MAPK cascade; Ras signaling; Epithelial to mesenchymal transition in colorectal cancer; Non-small cell lung cancer; Breast cancer pathway; Pancreatic adenocarcinoma pathway; Ethanol metabolism production of ROS by CYP2E1; EGF/EGFR signaling pathway; Envelope proteins and their potential roles in EDMD physiopathology; Fragile X syndrome; Translation inhibitors in chronically activated PDGFRA cells; Hepatitis B infection; Melanoma; Netrin-UNC5B signaling pathway; FGFR3 signaling in chondrocyte proliferation and terminal differentiation; EGFR tyrosine kinase inhibitor resistance; Insulin signaling; Kisspeptin/kisspeptin receptor system in the ovary; Host-pathogen interaction of human coronaviruses - MAPK signaling; IL-2 signaling pathway; MAPK pathway in congenital thyroid cancer; Kallmann syndrome; Malignant pleural mesothelioma; Regulation of actin cytoskeleton; Alzheimer's disease; EPO receptor signaling; ErbB signaling pathway; T-cell receptor (TCR) signaling pathway; Serotonin receptor 2 and ELK-SRF/GATA4 signaling; Serotonin receptor 4/6/7 and NR3C signaling; Toll-like receptor signaling pathway",Signaling by BRAF and RAF1 fusions; Uptake and function of anthrax toxins; Signal transduction by L1; RAF activation; MAPK1 (ERK2) activation; Signaling by moderate kinase activity BRAF mutants; Paradoxical activation of RAF signaling by kinase inactive BRAF; Signaling downstream of RAS mutants; Signaling by RAF1 mutants; MAP2K and MAPK activation; Signaling by high-kinase activity BRAF mutants; Frs2-mediated activation; Negative feedback regulation of MAPK pathway; Signaling by MAP2K mutants,"EGFR tyrosine kinase inhibitor resistance; Endocrine resistance; MAPK signaling pathway; ErbB signaling pathway; Ras signaling pathway; Rap1 signaling pathway; cGMP-PKG signaling pathway; cAMP signaling pathway; HIF-1 signaling pathway; FoxO signaling pathway; Sphingolipid signaling pathway; Phospholipase D signaling pathway; Autophagy; mTOR signaling pathway; PI3K-Akt signaling pathway; Apoptosis; Cellular senescence; Vascular smooth muscle contraction; VEGF signaling pathway; Apelin signaling pathway; Gap junction; Signaling pathways regulating pluripotency of stem cells; Neutrophil extracellular trap formation; Toll-like receptor signaling pathway; Natural killer cell mediated cytotoxicity; T cell receptor signaling pathway; B cell receptor signaling pathway; Fc epsilon RI signaling pathway; Long-term potentiation; Neurotrophin signaling pathway; Long-term depression; Regulation of actin cytoskeleton; Insulin signaling pathway; GnRH signaling pathway; Estrogen signaling pathway; Melanogenesis; Prolactin signaling pathway; Thyroid hormone signaling pathway; Oxytocin signaling pathway; Relaxin signaling pathway; GnRH secretion; Cushing syndrome; Growth hormone synthesis, secretion and action; Alzheimer disease; Pathways of neurodegeneration; Salmonella infection; Yersinia infection; Hepatitis C; Hepatitis B; Human cytomegalovirus infection; Influenza A; Human papillomavirus infection; Human T-cell leukemia virus 1 infection; Kaposi sarcoma-associated herpesvirus infection; Human immunodeficiency virus 1 infection; Pathways in cancer; Proteoglycans in cancer; MicroRNAs in cancer; Chemical carcinogenesis; Chemical carcinogenesis; Colorectal cancer; Renal cell carcinoma; Endometrial cancer; Glioma; Prostate cancer; Thyroid cancer; Melanoma; Bladder cancer; Chronic myeloid leukemia; Acute myeloid leukemia; Non-small cell lung cancer; Breast cancer; Hepatocellular carcinoma; Gastric cancer; Central carbon metabolism in cancer; Choline metabolism in cancer; PD-L1 expression and PD-1 checkpoint pathway in cancer"
O14744,Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4,Protein arginine N-methyltransferase 5,Homo sapiens,cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,cytosol;ER/Golgi;nucleus;other cell component,nucleic acid binding activity;other molecular function,Transcription co-factors SKI and SKIL protein partners; Nitric oxide metabolism in cystic fibrosis,RMTs methylate histone arginines; snRNP Assembly; Regulation of TP53 Activity through Methylation,
H0YIQ2,YLP motif-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=1,YLP motif-containing protein 1 (Fragment),Homo sapiens,,nucleus,,,,
H3BQQ2,E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1,E3 ubiquitin-protein ligase ZNF598,Homo sapiens,protein metabolism;other metabolic processes,,other molecular function,,,
Q08945,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,FACT complex subunit SSRP1,Homo sapiens,DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes,nucleus,nucleic acid binding activity;other molecular function,,Regulation of TP53 Activity through Phosphorylation; Formation of RNA Pol II elongation complex ; Formation of HIV elongation complex in the absence of HIV Tat; Formation of HIV-1 elongation complex containing HIV-1 Tat; Pausing and recovery of Tat-mediated HIV elongation; Tat-mediated HIV elongation arrest and recovery; HIV elongation arrest and recovery; Pausing and recovery of HIV elongation; RNA Polymerase II Pre-transcription Events; TP53 Regulates Transcription of DNA Repair Genes,
